compensation,date,description,employment_type,lat,link,long,text
Upon agreement,2022-04-27 09:08,"[['\n        ', '\nWe are looking to hire a construction surveyor with experience in using measuring lasers for installation of concrete and steel columns.', '\n917-821-5118\n    ']]",full-time,40.576700,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-surveyor/7476478500.html,-73.988400,Construction Surveyor/ Measuring laser user
"Salary   $ 70,00.00",2022-04-20 11:10,"[['\n        ', '\n60 Year Westchester/Fairfield County Remodeling Company seeks a full time estimator for immediate hire. This is an in-house position in our Mamaroneck, NY office. MUST have thorough knowledge of wood frame construction, windows and doors, blue print reading and take-offs, knowledge of plumbing, electrical trades, etc. Microsoft office and Excel knowledge is required. Please submit resume with related work experience.', '\n    ']]",full-time,40.952500,https://newyork.craigslist.org/fct/egr/d/mamaroneck-residential-construction/7473595515.html,-73.735000,RESIDENTIAL CONSTRUCTION ESTIMATOR (Blueprint take-offs)
$25/hr + $15 BONUS + $50 BONUS = upto $130 thats $65/hr 🟢,2022-04-20 11:46,"[['\n        ', '\nWant to have fun, enjoy your time and get PAID too ?', '\n', '\n', '\nCome join up for an exciting fun activity and get rewarded for your time.', '\n', '\nShiftsmart App is in need of product testers to try out new tech devices, Voice activated Smart glasses, in MIDTOWN MANHATTAN and fill out a survey about them.', '\n', '\nif you have any questions you can email us or text us at 214 838 8908 (Vinni)', '\n', '\nIF YOU SEE THIS POST WE STILL HAVE SHIFTS!!', '\n', '\nYou get $50 for the 2.5hr shift + Guaranteed extra $15 Bonus + FREE upto $50/$65 Bonus (Not Guaranteed.LIMITED AVAILABILITY. Act fast now!!)!!!', '\n', '\nIMPORTANT: Signup using the link below to get extra $15 Bonus guaranteed.', '\n', '\nEasy Sign Up Here: ', ' (5-7 minutes)', '\n', '\nUPDATE: SHIFTS ARE IN HIGH DEMAND GET IT BEFORE THEY ARE ALL GONE.', '\n', '\nHow it works:', '\n', '\n1. Sign up here with your basic information and select your shift after you complete the application: ', ' (5-7 minutes)', '\n2. Go to our offices in Midtown Manhattan for your 2.5 hour shift and enjoy testing smart glasses, and filling out quick survey questions about them', '\n3. Get paid instantly with the ""GET PAID NOW"" option on our app', '\n4. Keep notifications on! Once you complete your first shift, we do many times offer extra product testing shifts with bonus pay!', '\n', '\nYou get $50 for the 2.5hr shift + Guaranteed extra $15 Bonus + FREE upto $65 Bonus (Not Guaranteed.LIMITED AVAILABILITY. Act fast now!!)!!!', '\nEasy Sign Up Here: ', ' (5-7 minutes)', '\n', '\nWhat you’ll need:', '\n', '\n* Must be 18+ years old', '\n* iPhone or Android phone', '\n* Must live in or be able to travel to Manhattan', '\n* Jersey Residents are eligible', '\n* Anyone who can travel to our Manhattan office', '\n* Address: 1177 Avenue of the Americas Manhattan NY 10036', '\n', '\nLOOKING TO GET PAID NOW, Checkout our payments tab image.', '\nEasy Sign Up Here: ', ' (5-7 minutes)', '\n', '\nif you have any questions you can email us or text us at 214 838 8908 (Vinni)', '\n', '\nLOOKING TO GET PAID NOW, Checkout our payments tab image.', '\n', ""\nWhen you're signing up, enter your information and you will be able to get through the application quickly and choose your shift (when you sign up the shifts will show on the app after an hour)."", '\n', '\nEasy Sign Up Here: ', ' (5-7 minutes)', '\n', '\nWho are we?', '\n', '\nWe’re Shiftsmart. A highly successful and well renowned gig economy company. We put you in control of your schedule and your earnings. Find opportunities near you. Add extra shifts to your schedule. Get rewarded for your work & talent. And, make everyday payday!', '\n', ""\nP.S. You now have the option to get paid the same day you have money in your account with the “GET PAID NOW” option on our app. We've included pictures with examples of our payments, a screenshot showing the current bonus, and our instagram page "", ' and if you have any questions you can email us or text us at 214 838 8908 (Vinni)', '\n', '\nShifts are filling up by the minute, but if you are still seeing this POST that means that we have SHIFTS AVAILABLE.', '\n', '\nWE HAVE PAID OVER $10000 today, DID YOU GET PAID TODAY ?', '\n', '\nAlso just in case you didn’t see the ones above Easy Sign Up Here: ', '\n', '\nWant to make more ? We pay for referrals. Get an Amazon Gift Card for you and your friend for each referral.text us at 214 838 8908 (Vinni)', '\n', '\n', '\nWe are the perfect opportunity for those who are looking to earn more. As an independent contractor, you will create your own schedule with flexible hours. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible job, you should try working with Shiftsmart to start earning more today!\n    ']]",contract,40.646578,https://newyork.craigslist.org/mnh/egr/d/brooklyn-live-in-nyc-youre-lucky-we-pay/7473615247.html,-74.005202,💲LIVE IN NYC? You’re lucky! We pay up to $130 to test glasses/2.5 hrs
based on experience,2022-04-20 14:46,"[['\n        ', '\nGeneral Contractor is seeking a Junior Project manager who can create estimates and to assist its senior project managers and office staff. ', '\nResponsibilities include but are not limited to the following:', '\n• Assist on the preparation of estimates, change orders and field reports', '\n• Review bid packages, architectural plans and schedules and email/follow up with the appropriate trade.', '\n• Prepare submittals and bid packages for architects', '\n• Order, track and coordinate delivery of materials to job sites', '\n• Schedule and follow up on service calls, and ensure of timely completion', '\n• Schedule site meetings for ongoing and prospective clients', '\n• Update spreadsheets for ongoing and prospective projects', '\n• Calendar management', '\n• Screen and answer phone calls when needed', '\n• Draft, respond to, and monitor incoming and outgoing emails', '\n• Assist with other administrative duties as needed.', '\n', '\nQualifications:', '\n• Associate or Bachelor degree in related fields', '\n• 2+ years of work experience in architectural, engineering or construction companies. Extensive knowledge of reading Architectural plans/drawings.', '\n• Excellent oral and written communication skills.', '\n• Proficient in Excel/Google Sheets', '\n• Familiar with Google Drive or iCloud.', '\n• Extremely detail-oriented, punctual, positive can-do attitude, and organized.', '\n• Able to set priorities and to work independently or as part of a team.', '\n', '\nSmall Office setting', '\nBusiness Casual Environment', '\nSalary based on experience', '\n', '\nHow To Apply:', '\n• Write your cover letter in the body of your email and indicate your salary requirements.', '\n• Attach resume in Word or PDF format only', ""\nPrincipals only. Recruiters, please don't contact this job poster."", '\ndo NOT contact us with unsolicited services or offers', '\n    ']]",full-time,40.757100,https://newyork.craigslist.org/mnh/egr/d/new-york-city-in-house-junior-project/7473711828.html,-73.965700,In-house Junior Project Manager needed
Per plumber's estimate,2022-04-20 14:55,"[['\n        ', '\nSeeking to hire a licensed plumber for several approved jobs in Brooklyn and other boroughs. Jobs related to basic residential gas systems and basic residential utilities: heating, cooking, etc.', '\n    ']]",full-time,40.694000,https://newyork.craigslist.org/brk/egr/d/brooklyn-licensed-plumbers-wanted/7473716498.html,-73.990300,Licensed Plumbers Wanted
Negotiable,2022-04-20 15:31,"[['\n        ', '\nCustom millwork company based in Brooklyn is seeking experience office /reduction personal with knowledge of Reading architectural drawings and drafting , General office work and coordinating between the shop site and Clients', '\n    ']]",full-time,40.640700,https://newyork.craigslist.org/mnh/egr/d/brooklyn-office-millwork-production/7473735352.html,-73.902800,Office millwork production
Commensurate with skill,2022-04-21 16:54,"[['\n        ', '\nWe are seeking a design-inspired, versatile architect with a drive to provide the highest level of client care.', '\n', '\nOur rapidly growing Architectural Design firm services clients in hospitality, justice, education, transportation, retail and residential markets. The position we are hiring for will be responsible for executing civic projects primarily located in New York State. The ideal candidate will be a good communicator who is comfortable managing a team in a collaborative studio environment. ', '\n', '\nThe firm is composed of a talented, energetic group of individuals who strive to understand the goals of our clients and to provide high quality services. The firm is well established in working with both government agencies and private clients. We create an environment where everyone has a voice, a vision, an opinion, and an opportunity to contribute.', '\n', '\nMandatory Skills and Qualifications:', '\n- 10 - 20 years’ professional experience', '\n- Architecture license preferred ', '\n- Good communication and people skills', '\n-experienced in managing a team of junior staff', '\n-Ability to generate and manage budgets', '\n- Manage schedules and timelines', '\n- Ability to solve complex creative, technical and communication issues', '\n-AutoCAD or Revitt skills preferred', '\n- Eligible to work in the US a MUST', '\n\xa0', '\nSalary Range:', '\nCommensurate with skill', '\nJob Type: Full-time in office', '\n\xa0', '\nFull-time benefits package includes:', '\n- Medical, Dental, Vision, Life insurance', '\n- 401k program', '\n- Vacation time', '\n\xa0', '\nPlease email resume, including local address, phone number, and work samples, to ep@ronnetteriley.com\xa0with subject line: 308 Architect', '\n', '\nApplicant should be available for immediate interview.', '\n    ']]",full-time,40.748400,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-with-10-to/7474200193.html,-73.996700,Project Architect with 10 to 20 Years Experience
Commensurate with skill,2022-04-21 16:59,"[['\n        ', '\nJob Captain / Intermediate Architect with 3 to 10 Years Experience', '\n', '\nWe are seeking a design-inspired, technically strong, versatile intermediate architect with three to ten years’ experience.', '\n', '\nThis is a growth opportunity working on hospitality, justice, education, transportation, retail and residential projects. The ideal candidate will be a good communicator and comfortable working in a collaborative studio environment.', '\n', '\nThe firm is composed of a talented, energetic group of individuals who strive to understand the goals of our clients and to provide high quality services. We create an environment where everyone has a voice, a vision, an opinion, and an opportunity to contribute.', '\n', '\nMandatory Skills and Qualifications:', '\n- 3 to 10 years’ professional experience', '\n- Architecture license or on path to licensure', '\n- Revit skills a MUST', '\n- Good communication and people skills', '\n- Ability to solve creative and technical issues', '\n- Manage schedules and timelines', '\n- Eligible to work in the US a MUST', '\n\xa0', '\nSalary Range:', '\nCommensurate with skill', '\nJob Type: Full-time in office', '\n\xa0', '\nFull-time benefits package includes:', '\n- Medical, Dental, Vision, Life insurance', '\n- 401k program', '\n- Vacation time', '\n\xa0', '\nPlease email resume, including local address, phone number, and work samples, to ep@ronnetteriley.com\xa0with subject line: 309 Job Captain', '\n', '\nApplicant should be available for immediate interview.', '\n    ']]",full-time,40.748400,https://newyork.craigslist.org/mnh/egr/d/new-york-job-captain-intermediate/7474202501.html,-73.996700,Job Captain / Intermediate Architect with 3 to 10 Years Experience
competitive compensation,2022-04-21 17:42,"[['\n        ', '\nStructural and MEP  Engineer (New York)', '\nNYC Engineering office is looking for full time Engineers to join a growing company for the following positions:', '\n- Structural Engineer', '\n- Plumbing Engineer', '\n- Fire Protection Engineer', '\n- Mechanical Engineer', '\nThe ideal candidate will be a person that possess the following skills and qualifications:', '\n- 0-10 Years of Architectural/Engineering Experience.', '\n- Basic knowledge of AutoCAD', '\n- Knowledge of NYC Codes is a Plus', '\n- Self-motivated and willing to learn.', '\n- good verbal and written communication ability.', '\n', '\n-  Competitive salary', '\n-  Major Medical Insurance', '\n-  Vacation, personal and sick time.', '\n-  401K ', '\n- Profit sharing matching  ', '\n', '\nFull Covid Vaccination status required', '\n', '\n    ']]",full-time,40.744600,https://newyork.craigslist.org/que/egr/d/long-island-city-structural-and-mep/7474221915.html,-73.934500,Structural and MEP Engineers
Competitive pay,2022-04-22 10:45,"[['\n        ', '\nIn need of a freelance Auto Cad Drafter to work along with a Licensed Land Surveyor. Proficient with Auto Cad drafting/design. Competitive pay. Work from home.', '\n    ']]",contract,40.907900,https://newyork.craigslist.org/brx/egr/d/mount-vernon-auto-cad-drafter/7474440839.html,-73.838000,Auto Cad Drafter
